filename,title,abstract,errors
\42012_FGDC.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\42012_FGDC_FGDC.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\42012_FGDC_Original.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\42012_line_FGDC.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\42012_line_Original.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\42012_Original.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\az_FWSRefugeBdys_may05_FGDC.xml,az_FWSRefugeBdys_may05,"This data set depicts refuge boundary information for National Wildlife Refuges, National Fish Hatcheries and USFWS administrative sites in Oklahoma, Texas, New Mexico and Arizona. The primary source for boundary information is the USFWS Realty and Refuge Planning programs (land status maps, planning documents, and legal surveys) in the regions.","[('metadata/idinfo/timeperd/timeinfo/rngdates/begdate', ""Element 'begdate': 'unknown' is not a valid value of the union type 'begdateType'."", 20), ('metadata/idinfo/timeperd/timeinfo/rngdates/enddate', ""Element 'enddate': 'unknown' is not a valid value of the union type 'enddateType'."", 21), ('metadata/dataqual/lineage/srcinfo/srctime/timeinfo/rngdates/begdate', ""Element 'begdate': 'unknown' is not a valid value of the union type 'begdateType'."", 151), ('metadata/dataqual/lineage/srcinfo/srctime/timeinfo/rngdates/enddate', ""Element 'enddate': 'unknown' is not a valid value of the union type 'enddateType'."", 152), ('metadata/dataqual/lineage/procstep[2]/srcused', ""Element 'srcused': No match found for key-sequence ['N:\\StaticData\\Administrative_Boundaries\\AZ\\fwsaz.xml'] of keyref 'srcusedKeyRef'."", 166), ('metadata/distinfo/stdorder/digform/digtinfo/transize', ""Element 'transize': '233Kb' is not a valid value of the atomic type 'transizeType'."", 701)]"
\az_FWSRefugeBdys_may05_Original.xml,az_FWSRefugeBdys_may05,"This data set depicts refuge boundary information for National Wildlife Refuges, National Fish Hatcheries and USFWS administrative sites in Oklahoma, Texas, New Mexico and Arizona. The primary source for boundary information is the USFWS Realty and Refuge Planning programs (land status maps, planning documents, and legal surveys) in the regions.","[('metadata/idinfo/native', ""Element 'begdate': 'unknown' is not a valid value of the union type 'begdateType'."", 2), ('metadata/idinfo/native', ""Element 'enddate': 'unknown' is not a valid value of the union type 'enddateType'."", 2), ('metadata/dataqual/lineage/srcinfo/srctime/timeinfo/rngdates/begdate', ""Element 'begdate': 'unknown' is not a valid value of the union type 'begdateType'."", 33), ('metadata/dataqual/lineage/srcinfo/srctime/timeinfo/rngdates/enddate', ""Element 'enddate': 'unknown' is not a valid value of the union type 'enddateType'."", 34), ('metadata/dataqual/lineage/procstep[2]/srcused', ""Element 'srcused': No match found for key-sequence ['N:\\StaticData\\Administrative_Boundaries\\AZ\\fwsaz.xml'] of keyref 'srcusedKeyRef'."", 48), ('metadata/eainfo/detailed[2]/attr[1]/attrdef', ""The value for 'attrdef' cannot be empty"", 555), ('metadata/eainfo/detailed[2]/attr[1]/attrdef', ""The value for 'attrdef' cannot be empty"", 555), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 560), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 560), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 567), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 567), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 574), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 574), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[4]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 581), ('metadata/eainfo/detailed[2]/attr[1]/attrdomv[4]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 581), ('metadata/eainfo/detailed[2]/attr[2]/attrdef', ""The value for 'attrdef' cannot be empty"", 588), ('metadata/eainfo/detailed[2]/attr[2]/attrdef', ""The value for 'attrdef' cannot be empty"", 588), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 593), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 593), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 600), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 600), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 607), ('metadata/eainfo/detailed[2]/attr[2]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 607), ('metadata/eainfo/detailed[2]/attr[3]/attrdef', ""The value for 'attrdef' cannot be empty"", 614), ('metadata/eainfo/detailed[2]/attr[3]/attrdef', ""The value for 'attrdef' cannot be empty"", 614), ('metadata/eainfo/detailed[2]/attr[3]/attrdomv/udom', ""The value for 'udom' cannot be empty"", 617), ('metadata/eainfo/detailed[2]/attr[3]/attrdomv/udom', ""The value for 'udom' cannot be empty"", 617), ('metadata/eainfo/detailed[2]/attr[4]/attrdef', ""The value for 'attrdef' cannot be empty"", 622), ('metadata/eainfo/detailed[2]/attr[4]/attrdef', ""The value for 'attrdef' cannot be empty"", 622), ('metadata/eainfo/detailed[2]/attr[4]/attrdomv/udom', ""The value for 'udom' cannot be empty"", 625), ('metadata/eainfo/detailed[2]/attr[4]/attrdomv/udom', ""The value for 'udom' cannot be empty"", 625), ('metadata/eainfo/detailed[2]/attr[5]/attrdef', ""The value for 'attrdef' cannot be empty"", 630), ('metadata/eainfo/detailed[2]/attr[5]/attrdef', ""The value for 'attrdef' cannot be empty"", 630), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 635), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 635), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 642), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 642), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 649), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 649), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[4]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 656), ('metadata/eainfo/detailed[2]/attr[5]/attrdomv[4]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 656), ('metadata/eainfo/detailed[2]/attr[6]/attrdef', ""The value for 'attrdef' cannot be empty"", 663), ('metadata/eainfo/detailed[2]/attr[6]/attrdef', ""The value for 'attrdef' cannot be empty"", 663), ('metadata/eainfo/detailed[2]/attr[6]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 668), ('metadata/eainfo/detailed[2]/attr[6]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 668), ('metadata/eainfo/detailed[2]/attr[6]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 675), ('metadata/eainfo/detailed[2]/attr[6]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 675), ('metadata/eainfo/detailed[2]/attr[7]/attrdef', ""The value for 'attrdef' cannot be empty"", 682), ('metadata/eainfo/detailed[2]/attr[7]/attrdef', ""The value for 'attrdef' cannot be empty"", 682), ('metadata/eainfo/detailed[2]/attr[7]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 687), ('metadata/eainfo/detailed[2]/attr[7]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 687), ('metadata/eainfo/detailed[2]/attr[7]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 694), ('metadata/eainfo/detailed[2]/attr[7]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 694), ('metadata/eainfo/detailed[2]/attr[8]/attrdef', ""The value for 'attrdef' cannot be empty"", 701), ('metadata/eainfo/detailed[2]/attr[8]/attrdef', ""The value for 'attrdef' cannot be empty"", 701), ('metadata/eainfo/detailed[2]/attr[8]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 706), ('metadata/eainfo/detailed[2]/attr[8]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 706), ('metadata/eainfo/detailed[2]/attr[8]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 713), ('metadata/eainfo/detailed[2]/attr[8]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 713), ('metadata/eainfo/detailed[2]/attr[9]/attrdef', ""The value for 'attrdef' cannot be empty"", 720), ('metadata/eainfo/detailed[2]/attr[9]/attrdef', ""The value for 'attrdef' cannot be empty"", 720), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 725), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 725), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 732), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 732), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 739), ('metadata/eainfo/detailed[2]/attr[9]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 739), ('metadata/eainfo/detailed[2]/attr[10]/attrdef', ""The value for 'attrdef' cannot be empty"", 746), ('metadata/eainfo/detailed[2]/attr[10]/attrdef', ""The value for 'attrdef' cannot be empty"", 746), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 751), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[1]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 751), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 758), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[2]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 758), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 765), ('metadata/eainfo/detailed[2]/attr[10]/attrdomv[3]/edom/edomvd', ""The value for 'edomvd' cannot be empty"", 765)]"
\bio_01_2007_4km_FGDC.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
\bio_01_2007_4km_Original.xml,<<<could not get the title>>>,<<<could not get the abstract>>>,<<<could not open file>>>
